country,code,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),Health: Total expenditure (% of GDP),Seats held by women in national parliaments %,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
turkmenistan,TKM,488100,5758,12.3,97,37597,6.5,6996.7,13.4,51,35.6,103,109,1.8,50,1.9,2.1,25.8,54,8.8,3270,212
turks and caicos,TCA,948,35,37.3,104.1,863,4.1,25121.8,0.6,10.4,89,,,2,92.2,2.5,,,60,36.2,0,86
tuvalu,TUV,26,11,373.1,102,33,3.5,3362.4,26,7.6,66.4,110,110,0.9,59.7,1.9,16.5,6.7,96,33.3,,13
uganda,UGA,241550,42863,214.5,99,25282,5.4,647.7,25.6,21.5,52.9,93,90,3.4,16.1,5.4,7.2,34.3,196,11,409,12
ukraine,UKR,603500,44223,76.3,86,90615,-9.9,2021.6,14,26.3,59.7,137,137,-0.5,69.7,-0.3,7.1,12.3,102,16.6,3203,98
united arab emirates,ARE,83600,9400,112.4,262.4,370296,3.8,40438.8,0.7,44.9,54.4,70,70,2,85.5,2.9,3.6,20,56,3.8,8642,366
united kingdom,GBR,242495,66182,273.6,97.4,2858003,2.2,44162.4,0.7,19.4,79.9,108,108,0.6,82.6,0.9,9.1,30,102,12.9,4482,116
"tanzania, united republic of",TZA,947303,57310,64.7,97.8,45628,7,877.3,31.1,26.1,42.9,176,180,3.1,31.6,5.4,5.6,36.4,1082,52.4,935,20
united states of america,USA,9833517,324460,35.5,98,18036648,2.6,56053.8,1,19.7,79.3,111,113,0.7,81.6,1,17.1,19.1,1513,33.9,83887,289
uruguay,URY,173626,3457,19.8,93.5,53442,1,15573.8,6.8,28,65.2,129,130,0.3,95.3,0.5,8.6,20.2,106,10.4,113,58
uzbekistan,UZB,448969,31911,75,99.4,69004,6.8,2308.3,19.2,32.9,47.9,158,174,1.6,36.4,1.4,5.8,16,59,7.6,2339,62
vanuatu,VUT,12189,276,22.7,102.4,737,-1,2783,26.7,8.4,64.9,123,122,2.3,26.1,3.4,5,0,137,36.1,1,12
venezuela,VEN,912050,31977,36.3,99,344331,-6.2,11068.9,5.3,44.7,50,118,119,1.4,89,1.5,5.3,22.2,328,53.1,7460,90
vietnam,VNM,330967,95541,308.1,98,193241,6.7,2067.9,18.9,37,44.2,136,134,1.1,33.6,3,7.1,26.7,616,47.2,2977,30
wallis and futuna,WLF,142,12,84.1,93.4,,,,,,,115,115,-2.1,0,0,,,89,41.6,,26
western sahara,ESH,266000,553,2.1,110.1,,,,,,,100,100,1.8,80.9,3.3,,,49,2.7,,
yemen,YEM,527968,28250,53.5,102.1,29688,-28.1,1106.4,14.7,36.9,48.4,136,137,2.6,34.6,4,5.6,0,298,1,668,12
zambia,ZMB,752612,17094,23,98.5,21255,2.9,1311.1,8.2,32.3,59.5,179,180,3,40.9,4.3,5,18,88,65.6,374,26
zimbabwe,ZWE,390757,16530,42.7,95,13893,1.1,890.4,13,30.5,56.5,99,98,2.3,32.4,2.3,6,32.6,89,37.2,482,30
